Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,900,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p03[count=350]_OPT_dhplink_900.txt,23095580,14054400,14837920,,,51987900
clingcon,900,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p04[count=350]_OPT_dhplink_900.txt,23095580,14054400,14837920,16067000,,68054900
clingcon,900,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p05[count=350]_OPT_dhplink_900.txt,23095580,14054400,14837920,16067000,17680200,85735100
clingcon,900,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p02[count=350]_OPT_dhplink_900.txt,23095580,14054400,,,,37149980
clingcon,900,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p01[count=350]_OPT_dhplink_900.txt,23095580,,,,,23095580
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p03[count=350]_OPT_dhplink_900.txt,27878680,19008000,19710220,,,66596900
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p04[count=350]_OPT_dhplink_900.txt,27878680,19008000,19710220,19924000,,86520900
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p05[count=350]_OPT_dhplink_900.txt,27878680,19008000,19710220,19924000,21305800,107826700
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p02[count=350]_OPT_dhplink_900.txt,27878680,19008000,,,,46886680
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p01[count=350]_OPT_dhplink_900.txt,27886640,,,,,27886640
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350]_OPT_dhplink_900.txt,27928380,19008000,19710220,,,66646600
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350]_OPT_dhplink_900.txt,27956380,18950400,19710220,19924000,,86541000
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350]_OPT_dhplink_900.txt,27956380,18950400,19710220,19924000,21305800,107846800
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350]_OPT_dhplink_900.txt,27928380,19008000,,,,46936380
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350]_OPT_dhplink_900.txt,27956380,,,,,27956380
